,Importance
age,0.10480900771878097
sex,0.024179679641334603
chest,0.13823592450102654
pressure,0.09421748456806923
serum,0.05699020591368488
sugar,0.0003892042201619902
electro,0.006666909314972951
heart,0.09665377796857007
exercise,0.015477788973403865
oldpeak,0.04675043657552238
slope,0.015517949962295038
vessels,0.08871785036368501
thal,0.31139378027849235
